"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/02/2023 10:00:00 - 14/02/2023 11:00:00","BZN|SE3","Without Sequence","121.67","",""
"14/02/2023 11:00:00 - 14/02/2023 12:00:00","BZN|SE3","Without Sequence","121.18","",""
"14/02/2023 12:00:00 - 14/02/2023 13:00:00","BZN|SE3","Without Sequence","125.84","",""
"14/02/2023 13:00:00 - 14/02/2023 14:00:00","BZN|SE3","Without Sequence","119.04","",""
"14/02/2023 14:00:00 - 14/02/2023 15:00:00","BZN|SE3","Without Sequence","122.01","",""
"14/02/2023 15:00:00 - 14/02/2023 16:00:00","BZN|SE3","Without Sequence","117.55","",""
"14/02/2023 16:00:00 - 14/02/2023 17:00:00","BZN|SE3","Without Sequence","142.08","",""
"14/02/2023 17:00:00 - 14/02/2023 18:00:00","BZN|SE3","Without Sequence","176.47","",""
"14/02/2023 18:00:00 - 14/02/2023 19:00:00","BZN|SE3","Without Sequence","193.59","",""
"14/02/2023 19:00:00 - 14/02/2023 20:00:00","BZN|SE3","Without Sequence","129.72","",""
"14/02/2023 20:00:00 - 14/02/2023 21:00:00","BZN|SE3","Without Sequence","109.36","",""
"14/02/2023 21:00:00 - 14/02/2023 22:00:00","BZN|SE3","Without Sequence","109.03","",""
"14/02/2023 22:00:00 - 14/02/2023 23:00:00","BZN|SE3","Without Sequence","106.06","",""
"14/02/2023 23:00:00 - 15/02/2023 00:00:00","BZN|SE3","Without Sequence","104.11","",""
"15/02/2023 00:00:00 - 15/02/2023 01:00:00","BZN|SE3","Without Sequence","72.17","",""
"15/02/2023 01:00:00 - 15/02/2023 02:00:00","BZN|SE3","Without Sequence","69.29","",""
"15/02/2023 02:00:00 - 15/02/2023 03:00:00","BZN|SE3","Without Sequence","66.94","",""
"15/02/2023 03:00:00 - 15/02/2023 04:00:00","BZN|SE3","Without Sequence","67.78","",""
"15/02/2023 04:00:00 - 15/02/2023 05:00:00","BZN|SE3","Without Sequence","72.17","",""
"15/02/2023 05:00:00 - 15/02/2023 06:00:00","BZN|SE3","Without Sequence","69.29","",""
"15/02/2023 06:00:00 - 15/02/2023 07:00:00","BZN|SE3","Without Sequence","109.05","",""
"15/02/2023 07:00:00 - 15/02/2023 08:00:00","BZN|SE3","Without Sequence","112.97","",""
"15/02/2023 08:00:00 - 15/02/2023 09:00:00","BZN|SE3","Without Sequence","182.72","",""
"15/02/2023 09:00:00 - 15/02/2023 10:00:00","BZN|SE3","Without Sequence","150.98","",""
"15/02/2023 10:00:00 - 15/02/2023 11:00:00","BZN|SE3","Without Sequence","128.67","",""
"15/02/2023 11:00:00 - 15/02/2023 12:00:00","BZN|SE3","Without Sequence","114.74","",""
"15/02/2023 12:00:00 - 15/02/2023 13:00:00","BZN|SE3","Without Sequence","113.52","",""
"15/02/2023 13:00:00 - 15/02/2023 14:00:00","BZN|SE3","Without Sequence","112.87","",""
"15/02/2023 14:00:00 - 15/02/2023 15:00:00","BZN|SE3","Without Sequence","112.83","",""
"15/02/2023 15:00:00 - 15/02/2023 16:00:00","BZN|SE3","Without Sequence","112.75","",""
"15/02/2023 16:00:00 - 15/02/2023 17:00:00","BZN|SE3","Without Sequence","112.88","",""
"15/02/2023 17:00:00 - 15/02/2023 18:00:00","BZN|SE3","Without Sequence","112.18","",""
"15/02/2023 18:00:00 - 15/02/2023 19:00:00","BZN|SE3","Without Sequence","108.92","",""
"15/02/2023 19:00:00 - 15/02/2023 20:00:00","BZN|SE3","Without Sequence","104.96","",""
"15/02/2023 20:00:00 - 15/02/2023 21:00:00","BZN|SE3","Without Sequence","73.74","",""
"15/02/2023 21:00:00 - 15/02/2023 22:00:00","BZN|SE3","Without Sequence","66.17","",""
"15/02/2023 22:00:00 - 15/02/2023 23:00:00","BZN|SE3","Without Sequence","58.34","",""
"15/02/2023 23:00:00 - 16/02/2023 00:00:00","BZN|SE3","Without Sequence","49.59","",""
"16/02/2023 00:00:00 - 16/02/2023 01:00:00","BZN|SE3","Without Sequence","43.99","",""
"16/02/2023 01:00:00 - 16/02/2023 02:00:00","BZN|SE3","Without Sequence","37.24","",""
"16/02/2023 02:00:00 - 16/02/2023 03:00:00","BZN|SE3","Without Sequence","30.54","",""
"16/02/2023 03:00:00 - 16/02/2023 04:00:00","BZN|SE3","Without Sequence","26.61","",""
"16/02/2023 04:00:00 - 16/02/2023 05:00:00","BZN|SE3","Without Sequence","26.19","",""
"16/02/2023 05:00:00 - 16/02/2023 06:00:00","BZN|SE3","Without Sequence","31.39","",""
"16/02/2023 06:00:00 - 16/02/2023 07:00:00","BZN|SE3","Without Sequence","37.92","",""
"16/02/2023 07:00:00 - 16/02/2023 08:00:00","BZN|SE3","Without Sequence","53.94","",""
"16/02/2023 08:00:00 - 16/02/2023 09:00:00","BZN|SE3","Without Sequence","52.62","",""
"16/02/2023 09:00:00 - 16/02/2023 10:00:00","BZN|SE3","Without Sequence","44.97","",""
"16/02/2023 10:00:00 - 16/02/2023 11:00:00","BZN|SE3","Without Sequence","46.22","",""
"16/02/2023 11:00:00 - 16/02/2023 12:00:00","BZN|SE3","Without Sequence","46.51","",""
"16/02/2023 12:00:00 - 16/02/2023 13:00:00","BZN|SE3","Without Sequence","47.44","",""
"16/02/2023 13:00:00 - 16/02/2023 14:00:00","BZN|SE3","Without Sequence","49.98","",""
"16/02/2023 14:00:00 - 16/02/2023 15:00:00","BZN|SE3","Without Sequence","49.11","",""
"16/02/2023 15:00:00 - 16/02/2023 16:00:00","BZN|SE3","Without Sequence","45.96","",""
"16/02/2023 16:00:00 - 16/02/2023 17:00:00","BZN|SE3","Without Sequence","54.94","",""
"16/02/2023 17:00:00 - 16/02/2023 18:00:00","BZN|SE3","Without Sequence","59.99","",""
"16/02/2023 18:00:00 - 16/02/2023 19:00:00","BZN|SE3","Without Sequence","60.24","",""
"16/02/2023 19:00:00 - 16/02/2023 20:00:00","BZN|SE3","Without Sequence","56.50","",""
"16/02/2023 20:00:00 - 16/02/2023 21:00:00","BZN|SE3","Without Sequence","48.70","",""
"16/02/2023 21:00:00 - 16/02/2023 22:00:00","BZN|SE3","Without Sequence","40.00","",""
"16/02/2023 22:00:00 - 16/02/2023 23:00:00","BZN|SE3","Without Sequence","36.34","",""
"16/02/2023 23:00:00 - 17/02/2023 00:00:00","BZN|SE3","Without Sequence","33.87","",""
"17/02/2023 00:00:00 - 17/02/2023 01:00:00","BZN|SE3","Without Sequence","34.99","",""
"17/02/2023 01:00:00 - 17/02/2023 02:00:00","BZN|SE3","Without Sequence","31.56","",""
"17/02/2023 02:00:00 - 17/02/2023 03:00:00","BZN|SE3","Without Sequence","32.16","",""
"17/02/2023 03:00:00 - 17/02/2023 04:00:00","BZN|SE3","Without Sequence","32.08","",""
"17/02/2023 04:00:00 - 17/02/2023 05:00:00","BZN|SE3","Without Sequence","34.67","",""
"17/02/2023 05:00:00 - 17/02/2023 06:00:00","BZN|SE3","Without Sequence","37.56","",""
"17/02/2023 06:00:00 - 17/02/2023 07:00:00","BZN|SE3","Without Sequence","67.55","",""
"17/02/2023 07:00:00 - 17/02/2023 08:00:00","BZN|SE3","Without Sequence","94.01","",""
"17/02/2023 08:00:00 - 17/02/2023 09:00:00","BZN|SE3","Without Sequence","94.01","",""
"17/02/2023 09:00:00 - 17/02/2023 10:00:00","BZN|SE3","Without Sequence","88.99","",""
"17/02/2023 10:00:00 - 17/02/2023 11:00:00","BZN|SE3","Without Sequence","87.46","",""
"17/02/2023 11:00:00 - 17/02/2023 12:00:00","BZN|SE3","Without Sequence","57.35","",""
"17/02/2023 12:00:00 - 17/02/2023 13:00:00","BZN|SE3","Without Sequence","45.99","",""
"17/02/2023 13:00:00 - 17/02/2023 14:00:00","BZN|SE3","Without Sequence","42.12","",""
"17/02/2023 14:00:00 - 17/02/2023 15:00:00","BZN|SE3","Without Sequence","35.80","",""
"17/02/2023 15:00:00 - 17/02/2023 16:00:00","BZN|SE3","Without Sequence","32.90","",""
"17/02/2023 16:00:00 - 17/02/2023 17:00:00","BZN|SE3","Without Sequence","33.67","",""
"17/02/2023 17:00:00 - 17/02/2023 18:00:00","BZN|SE3","Without Sequence","37.36","",""
"17/02/2023 18:00:00 - 17/02/2023 19:00:00","BZN|SE3","Without Sequence","38.10","",""
"17/02/2023 19:00:00 - 17/02/2023 20:00:00","BZN|SE3","Without Sequence","36.82","",""
"17/02/2023 20:00:00 - 17/02/2023 21:00:00","BZN|SE3","Without Sequence","34.61","",""
"17/02/2023 21:00:00 - 17/02/2023 22:00:00","BZN|SE3","Without Sequence","32.88","",""
"17/02/2023 22:00:00 - 17/02/2023 23:00:00","BZN|SE3","Without Sequence","29.79","",""
"17/02/2023 23:00:00 - 18/02/2023 00:00:00","BZN|SE3","Without Sequence","22.22","",""
"18/02/2023 00:00:00 - 18/02/2023 01:00:00","BZN|SE3","Without Sequence","27.46","",""
"18/02/2023 01:00:00 - 18/02/2023 02:00:00","BZN|SE3","Without Sequence","24.93","",""
"18/02/2023 02:00:00 - 18/02/2023 03:00:00","BZN|SE3","Without Sequence","22.98","",""
"18/02/2023 03:00:00 - 18/02/2023 04:00:00","BZN|SE3","Without Sequence","25.10","",""
"18/02/2023 04:00:00 - 18/02/2023 05:00:00","BZN|SE3","Without Sequence","24.46","",""
"18/02/2023 05:00:00 - 18/02/2023 06:00:00","BZN|SE3","Without Sequence","24.91","",""
"18/02/2023 06:00:00 - 18/02/2023 07:00:00","BZN|SE3","Without Sequence","26.78","",""
"18/02/2023 07:00:00 - 18/02/2023 08:00:00","BZN|SE3","Without Sequence","27.98","",""
"18/02/2023 08:00:00 - 18/02/2023 09:00:00","BZN|SE3","Without Sequence","29.95","",""
"18/02/2023 09:00:00 - 18/02/2023 10:00:00","BZN|SE3","Without Sequence","32.64","",""
"18/02/2023 10:00:00 - 18/02/2023 11:00:00","BZN|SE3","Without Sequence","31.77","",""
"18/02/2023 11:00:00 - 18/02/2023 12:00:00","BZN|SE3","Without Sequence","29.64","",""
"18/02/2023 12:00:00 - 18/02/2023 13:00:00","BZN|SE3","Without Sequence","27.97","",""
"18/02/2023 13:00:00 - 18/02/2023 14:00:00","BZN|SE3","Without Sequence","27.61","",""
"18/02/2023 14:00:00 - 18/02/2023 15:00:00","BZN|SE3","Without Sequence","27.48","",""
"18/02/2023 15:00:00 - 18/02/2023 16:00:00","BZN|SE3","Without Sequence","28.32","",""
"18/02/2023 16:00:00 - 18/02/2023 17:00:00","BZN|SE3","Without Sequence","32.15","",""
"18/02/2023 17:00:00 - 18/02/2023 18:00:00","BZN|SE3","Without Sequence","62.81","",""
"18/02/2023 18:00:00 - 18/02/2023 19:00:00","BZN|SE3","Without Sequence","104.19","",""
"18/02/2023 19:00:00 - 18/02/2023 20:00:00","BZN|SE3","Without Sequence","59.98","",""
"18/02/2023 20:00:00 - 18/02/2023 21:00:00","BZN|SE3","Without Sequence","46.13","",""
"18/02/2023 21:00:00 - 18/02/2023 22:00:00","BZN|SE3","Without Sequence","29.67","",""
"18/02/2023 22:00:00 - 18/02/2023 23:00:00","BZN|SE3","Without Sequence","29.24","",""
"18/02/2023 23:00:00 - 19/02/2023 00:00:00","BZN|SE3","Without Sequence","29.38","",""
"19/02/2023 00:00:00 - 19/02/2023 01:00:00","BZN|SE3","Without Sequence","40.00","",""
"19/02/2023 01:00:00 - 19/02/2023 02:00:00","BZN|SE3","Without Sequence","40.01","",""
"19/02/2023 02:00:00 - 19/02/2023 03:00:00","BZN|SE3","Without Sequence","41.90","",""
"19/02/2023 03:00:00 - 19/02/2023 04:00:00","BZN|SE3","Without Sequence","39.03","",""
"19/02/2023 04:00:00 - 19/02/2023 05:00:00","BZN|SE3","Without Sequence","38.66","",""
"19/02/2023 05:00:00 - 19/02/2023 06:00:00","BZN|SE3","Without Sequence","40.00","",""
"19/02/2023 06:00:00 - 19/02/2023 07:00:00","BZN|SE3","Without Sequence","36.57","",""
"19/02/2023 07:00:00 - 19/02/2023 08:00:00","BZN|SE3","Without Sequence","45.59","",""
"19/02/2023 08:00:00 - 19/02/2023 09:00:00","BZN|SE3","Without Sequence","59.27","",""
"19/02/2023 09:00:00 - 19/02/2023 10:00:00","BZN|SE3","Without Sequence","85.03","",""
"19/02/2023 10:00:00 - 19/02/2023 11:00:00","BZN|SE3","Without Sequence","73.10","",""
"19/02/2023 11:00:00 - 19/02/2023 12:00:00","BZN|SE3","Without Sequence","59.90","",""
"19/02/2023 12:00:00 - 19/02/2023 13:00:00","BZN|SE3","Without Sequence","44.69","",""
"19/02/2023 13:00:00 - 19/02/2023 14:00:00","BZN|SE3","Without Sequence","40.77","",""
"19/02/2023 14:00:00 - 19/02/2023 15:00:00","BZN|SE3","Without Sequence","41.32","",""
"19/02/2023 15:00:00 - 19/02/2023 16:00:00","BZN|SE3","Without Sequence","59.94","",""
"19/02/2023 16:00:00 - 19/02/2023 17:00:00","BZN|SE3","Without Sequence","97.29","",""
"19/02/2023 17:00:00 - 19/02/2023 18:00:00","BZN|SE3","Without Sequence","105.15","",""
"19/02/2023 18:00:00 - 19/02/2023 19:00:00","BZN|SE3","Without Sequence","106.71","",""
"19/02/2023 19:00:00 - 19/02/2023 20:00:00","BZN|SE3","Without Sequence","100.93","",""
"19/02/2023 20:00:00 - 19/02/2023 21:00:00","BZN|SE3","Without Sequence","96.38","",""
"19/02/2023 21:00:00 - 19/02/2023 22:00:00","BZN|SE3","Without Sequence","94.57","",""
"19/02/2023 22:00:00 - 19/02/2023 23:00:00","BZN|SE3","Without Sequence","69.74","",""
"19/02/2023 23:00:00 - 20/02/2023 00:00:00","BZN|SE3","Without Sequence","57.20","",""
"20/02/2023 00:00:00 - 20/02/2023 01:00:00","BZN|SE3","Without Sequence","53.63","",""
"20/02/2023 01:00:00 - 20/02/2023 02:00:00","BZN|SE3","Without Sequence","45.04","",""
"20/02/2023 02:00:00 - 20/02/2023 03:00:00","BZN|SE3","Without Sequence","42.75","",""
"20/02/2023 03:00:00 - 20/02/2023 04:00:00","BZN|SE3","Without Sequence","33.18","",""
"20/02/2023 04:00:00 - 20/02/2023 05:00:00","BZN|SE3","Without Sequence","29.13","",""
"20/02/2023 05:00:00 - 20/02/2023 06:00:00","BZN|SE3","Without Sequence","34.13","",""
"20/02/2023 06:00:00 - 20/02/2023 07:00:00","BZN|SE3","Without Sequence","38.26","",""
"20/02/2023 07:00:00 - 20/02/2023 08:00:00","BZN|SE3","Without Sequence","47.77","",""
"20/02/2023 08:00:00 - 20/02/2023 09:00:00","BZN|SE3","Without Sequence","54.19","",""
"20/02/2023 09:00:00 - 20/02/2023 10:00:00","BZN|SE3","Without Sequence","48.72","",""
"20/02/2023 10:00:00 - 20/02/2023 11:00:00","BZN|SE3","Without Sequence","41.96","",""
"20/02/2023 11:00:00 - 20/02/2023 12:00:00","BZN|SE3","Without Sequence","34.55","",""
"20/02/2023 12:00:00 - 20/02/2023 13:00:00","BZN|SE3","Without Sequence","34.80","",""
"20/02/2023 13:00:00 - 20/02/2023 14:00:00","BZN|SE3","Without Sequence","34.17","",""
"20/02/2023 14:00:00 - 20/02/2023 15:00:00","BZN|SE3","Without Sequence","41.52","",""
"20/02/2023 15:00:00 - 20/02/2023 16:00:00","BZN|SE3","Without Sequence","51.09","",""
"20/02/2023 16:00:00 - 20/02/2023 17:00:00","BZN|SE3","Without Sequence","49.85","",""
"20/02/2023 17:00:00 - 20/02/2023 18:00:00","BZN|SE3","Without Sequence","57.73","",""
"20/02/2023 18:00:00 - 20/02/2023 19:00:00","BZN|SE3","Without Sequence","59.92","",""
"20/02/2023 19:00:00 - 20/02/2023 20:00:00","BZN|SE3","Without Sequence","55.92","",""
"20/02/2023 20:00:00 - 20/02/2023 21:00:00","BZN|SE3","Without Sequence","53.08","",""
"20/02/2023 21:00:00 - 20/02/2023 22:00:00","BZN|SE3","Without Sequence","49.90","",""
"20/02/2023 22:00:00 - 20/02/2023 23:00:00","BZN|SE3","Without Sequence","46.33","",""
"20/02/2023 23:00:00 - 21/02/2023 00:00:00","BZN|SE3","Without Sequence","43.00","",""
"21/02/2023 00:00:00 - 21/02/2023 01:00:00","BZN|SE3","Without Sequence","45.01","",""
"21/02/2023 01:00:00 - 21/02/2023 02:00:00","BZN|SE3","Without Sequence","42.84","",""
"21/02/2023 02:00:00 - 21/02/2023 03:00:00","BZN|SE3","Without Sequence","42.84","",""
"21/02/2023 03:00:00 - 21/02/2023 04:00:00","BZN|SE3","Without Sequence","44.66","",""
"21/02/2023 04:00:00 - 21/02/2023 05:00:00","BZN|SE3","Without Sequence","47.38","",""
"21/02/2023 05:00:00 - 21/02/2023 06:00:00","BZN|SE3","Without Sequence","52.40","",""
"21/02/2023 06:00:00 - 21/02/2023 07:00:00","BZN|SE3","Without Sequence","64.01","",""
"21/02/2023 07:00:00 - 21/02/2023 08:00:00","BZN|SE3","Without Sequence","97.03","",""
"21/02/2023 08:00:00 - 21/02/2023 09:00:00","BZN|SE3","Without Sequence","101.20","",""
"21/02/2023 09:00:00 - 21/02/2023 10:00:00","BZN|SE3","Without Sequence","102.04","",""
"21/02/2023 10:00:00 - 21/02/2023 11:00:00","BZN|SE3","Without Sequence","101.91","",""
"21/02/2023 11:00:00 - 21/02/2023 12:00:00","BZN|SE3","Without Sequence","101.53","",""
"21/02/2023 12:00:00 - 21/02/2023 13:00:00","BZN|SE3","Without Sequence","102.39","",""
"21/02/2023 13:00:00 - 21/02/2023 14:00:00","BZN|SE3","Without Sequence","103.53","",""
"21/02/2023 14:00:00 - 21/02/2023 15:00:00","BZN|SE3","Without Sequence","108.23","",""
"21/02/2023 15:00:00 - 21/02/2023 16:00:00","BZN|SE3","Without Sequence","114.91","",""
"21/02/2023 16:00:00 - 21/02/2023 17:00:00","BZN|SE3","Without Sequence","142.78","",""
"21/02/2023 17:00:00 - 21/02/2023 18:00:00","BZN|SE3","Without Sequence","164.85","",""
"21/02/2023 18:00:00 - 21/02/2023 19:00:00","BZN|SE3","Without Sequence","178.13","",""
"21/02/2023 19:00:00 - 21/02/2023 20:00:00","BZN|SE3","Without Sequence","176.25","",""
"21/02/2023 20:00:00 - 21/02/2023 21:00:00","BZN|SE3","Without Sequence","165.92","",""
"21/02/2023 21:00:00 - 21/02/2023 22:00:00","BZN|SE3","Without Sequence","154.99","",""
"21/02/2023 22:00:00 - 21/02/2023 23:00:00","BZN|SE3","Without Sequence","110.27","",""
"21/02/2023 23:00:00 - 22/02/2023 00:00:00","BZN|SE3","Without Sequence","108.11","",""
"22/02/2023 00:00:00 - 22/02/2023 01:00:00","BZN|SE3","Without Sequence","104.81","",""
"22/02/2023 01:00:00 - 22/02/2023 02:00:00","BZN|SE3","Without Sequence","103.24","",""
"22/02/2023 02:00:00 - 22/02/2023 03:00:00","BZN|SE3","Without Sequence","102.73","",""
"22/02/2023 03:00:00 - 22/02/2023 04:00:00","BZN|SE3","Without Sequence","102.47","",""
"22/02/2023 04:00:00 - 22/02/2023 05:00:00","BZN|SE3","Without Sequence","102.72","",""
"22/02/2023 05:00:00 - 22/02/2023 06:00:00","BZN|SE3","Without Sequence","104.41","",""
"22/02/2023 06:00:00 - 22/02/2023 07:00:00","BZN|SE3","Without Sequence","108.43","",""
"22/02/2023 07:00:00 - 22/02/2023 08:00:00","BZN|SE3","Without Sequence","173.13","",""
"22/02/2023 08:00:00 - 22/02/2023 09:00:00","BZN|SE3","Without Sequence","176.34","",""
"22/02/2023 09:00:00 - 22/02/2023 10:00:00","BZN|SE3","Without Sequence","164.55","",""
"22/02/2023 10:00:00 - 22/02/2023 11:00:00","BZN|SE3","Without Sequence","152.53","",""
"22/02/2023 11:00:00 - 22/02/2023 12:00:00","BZN|SE3","Without Sequence","136.99","",""
"22/02/2023 12:00:00 - 22/02/2023 13:00:00","BZN|SE3","Without Sequence","126.45","",""
"22/02/2023 13:00:00 - 22/02/2023 14:00:00","BZN|SE3","Without Sequence","126.08","",""
"22/02/2023 14:00:00 - 22/02/2023 15:00:00","BZN|SE3","Without Sequence","124.08","",""
"22/02/2023 15:00:00 - 22/02/2023 16:00:00","BZN|SE3","Without Sequence","124.22","",""
"22/02/2023 16:00:00 - 22/02/2023 17:00:00","BZN|SE3","Without Sequence","112.35","",""
"22/02/2023 17:00:00 - 22/02/2023 18:00:00","BZN|SE3","Without Sequence","161.05","",""
"22/02/2023 18:00:00 - 22/02/2023 19:00:00","BZN|SE3","Without Sequence","112.30","",""
"22/02/2023 19:00:00 - 22/02/2023 20:00:00","BZN|SE3","Without Sequence","108.99","",""
"22/02/2023 20:00:00 - 22/02/2023 21:00:00","BZN|SE3","Without Sequence","91.04","",""
"22/02/2023 21:00:00 - 22/02/2023 22:00:00","BZN|SE3","Without Sequence","57.14","",""
"22/02/2023 22:00:00 - 22/02/2023 23:00:00","BZN|SE3","Without Sequence","34.17","",""
"22/02/2023 23:00:00 - 23/02/2023 00:00:00","BZN|SE3","Without Sequence","28.74","",""
"23/02/2023 00:00:00 - 23/02/2023 01:00:00","BZN|SE3","Without Sequence","30.19","",""
"23/02/2023 01:00:00 - 23/02/2023 02:00:00","BZN|SE3","Without Sequence","30.72","",""
"23/02/2023 02:00:00 - 23/02/2023 03:00:00","BZN|SE3","Without Sequence","30.68","",""
"23/02/2023 03:00:00 - 23/02/2023 04:00:00","BZN|SE3","Without Sequence","32.91","",""
"23/02/2023 04:00:00 - 23/02/2023 05:00:00","BZN|SE3","Without Sequence","37.79","",""
"23/02/2023 05:00:00 - 23/02/2023 06:00:00","BZN|SE3","Without Sequence","40.12","",""
"23/02/2023 06:00:00 - 23/02/2023 07:00:00","BZN|SE3","Without Sequence","52.58","",""
"23/02/2023 07:00:00 - 23/02/2023 08:00:00","BZN|SE3","Without Sequence","104.18","",""
"23/02/2023 08:00:00 - 23/02/2023 09:00:00","BZN|SE3","Without Sequence","108.52","",""
"23/02/2023 09:00:00 - 23/02/2023 10:00:00","BZN|SE3","Without Sequence","112.05","",""
"23/02/2023 10:00:00 - 23/02/2023 11:00:00","BZN|SE3","Without Sequence","109.81","",""
"23/02/2023 11:00:00 - 23/02/2023 12:00:00","BZN|SE3","Without Sequence","110.71","",""
"23/02/2023 12:00:00 - 23/02/2023 13:00:00","BZN|SE3","Without Sequence","109.64","",""
"23/02/2023 13:00:00 - 23/02/2023 14:00:00","BZN|SE3","Without Sequence","108.31","",""
"23/02/2023 14:00:00 - 23/02/2023 15:00:00","BZN|SE3","Without Sequence","106.83","",""
"23/02/2023 15:00:00 - 23/02/2023 16:00:00","BZN|SE3","Without Sequence","107.10","",""
"23/02/2023 16:00:00 - 23/02/2023 17:00:00","BZN|SE3","Without Sequence","109.99","",""
"23/02/2023 17:00:00 - 23/02/2023 18:00:00","BZN|SE3","Without Sequence","120.61","",""
"23/02/2023 18:00:00 - 23/02/2023 19:00:00","BZN|SE3","Without Sequence","121.50","",""
"23/02/2023 19:00:00 - 23/02/2023 20:00:00","BZN|SE3","Without Sequence","110.99","",""
"23/02/2023 20:00:00 - 23/02/2023 21:00:00","BZN|SE3","Without Sequence","104.20","",""
"23/02/2023 21:00:00 - 23/02/2023 22:00:00","BZN|SE3","Without Sequence","103.62","",""
"23/02/2023 22:00:00 - 23/02/2023 23:00:00","BZN|SE3","Without Sequence","90.00","",""
"23/02/2023 23:00:00 - 24/02/2023 00:00:00","BZN|SE3","Without Sequence","73.31","",""
"24/02/2023 00:00:00 - 24/02/2023 01:00:00","BZN|SE3","Without Sequence","59.94","",""
"24/02/2023 01:00:00 - 24/02/2023 02:00:00","BZN|SE3","Without Sequence","48.07","",""
"24/02/2023 02:00:00 - 24/02/2023 03:00:00","BZN|SE3","Without Sequence","44.99","",""
"24/02/2023 03:00:00 - 24/02/2023 04:00:00","BZN|SE3","Without Sequence","44.97","",""
"24/02/2023 04:00:00 - 24/02/2023 05:00:00","BZN|SE3","Without Sequence","49.96","",""
"24/02/2023 05:00:00 - 24/02/2023 06:00:00","BZN|SE3","Without Sequence","56.98","",""
"24/02/2023 06:00:00 - 24/02/2023 07:00:00","BZN|SE3","Without Sequence","86.62","",""
"24/02/2023 07:00:00 - 24/02/2023 08:00:00","BZN|SE3","Without Sequence","100.94","",""
"24/02/2023 08:00:00 - 24/02/2023 09:00:00","BZN|SE3","Without Sequence","102.99","",""
"24/02/2023 09:00:00 - 24/02/2023 10:00:00","BZN|SE3","Without Sequence","100.36","",""
"24/02/2023 10:00:00 - 24/02/2023 11:00:00","BZN|SE3","Without Sequence","98.71","",""
"24/02/2023 11:00:00 - 24/02/2023 12:00:00","BZN|SE3","Without Sequence","97.07","",""
"24/02/2023 12:00:00 - 24/02/2023 13:00:00","BZN|SE3","Without Sequence","95.87","",""
"24/02/2023 13:00:00 - 24/02/2023 14:00:00","BZN|SE3","Without Sequence","92.32","",""
"24/02/2023 14:00:00 - 24/02/2023 15:00:00","BZN|SE3","Without Sequence","91.54","",""
"24/02/2023 15:00:00 - 24/02/2023 16:00:00","BZN|SE3","Without Sequence","91.25","",""
"24/02/2023 16:00:00 - 24/02/2023 17:00:00","BZN|SE3","Without Sequence","95.83","",""
"24/02/2023 17:00:00 - 24/02/2023 18:00:00","BZN|SE3","Without Sequence","97.43","",""
"24/02/2023 18:00:00 - 24/02/2023 19:00:00","BZN|SE3","Without Sequence","96.54","",""
"24/02/2023 19:00:00 - 24/02/2023 20:00:00","BZN|SE3","Without Sequence","89.01","",""
"24/02/2023 20:00:00 - 24/02/2023 21:00:00","BZN|SE3","Without Sequence","52.62","",""
"24/02/2023 21:00:00 - 24/02/2023 22:00:00","BZN|SE3","Without Sequence","33.87","",""
"24/02/2023 22:00:00 - 24/02/2023 23:00:00","BZN|SE3","Without Sequence","29.53","",""
"24/02/2023 23:00:00 - 25/02/2023 00:00:00","BZN|SE3","Without Sequence","27.97","",""
"25/02/2023 00:00:00 - 25/02/2023 01:00:00","BZN|SE3","Without Sequence","25.22","",""
"25/02/2023 01:00:00 - 25/02/2023 02:00:00","BZN|SE3","Without Sequence","23.84","",""
"25/02/2023 02:00:00 - 25/02/2023 03:00:00","BZN|SE3","Without Sequence","23.34","",""
"25/02/2023 03:00:00 - 25/02/2023 04:00:00","BZN|SE3","Without Sequence","23.11","",""
"25/02/2023 04:00:00 - 25/02/2023 05:00:00","BZN|SE3","Without Sequence","23.28","",""
"25/02/2023 05:00:00 - 25/02/2023 06:00:00","BZN|SE3","Without Sequence","23.74","",""
"25/02/2023 06:00:00 - 25/02/2023 07:00:00","BZN|SE3","Without Sequence","24.42","",""
"25/02/2023 07:00:00 - 25/02/2023 08:00:00","BZN|SE3","Without Sequence","28.00","",""
"25/02/2023 08:00:00 - 25/02/2023 09:00:00","BZN|SE3","Without Sequence","32.89","",""
"25/02/2023 09:00:00 - 25/02/2023 10:00:00","BZN|SE3","Without Sequence","34.00","",""
"25/02/2023 10:00:00 - 25/02/2023 11:00:00","BZN|SE3","Without Sequence","33.04","",""
"25/02/2023 11:00:00 - 25/02/2023 12:00:00","BZN|SE3","Without Sequence","32.93","",""
"25/02/2023 12:00:00 - 25/02/2023 13:00:00","BZN|SE3","Without Sequence","30.97","",""
"25/02/2023 13:00:00 - 25/02/2023 14:00:00","BZN|SE3","Without Sequence","30.37","",""
"25/02/2023 14:00:00 - 25/02/2023 15:00:00","BZN|SE3","Without Sequence","29.48","",""
"25/02/2023 15:00:00 - 25/02/2023 16:00:00","BZN|SE3","Without Sequence","29.32","",""
"25/02/2023 16:00:00 - 25/02/2023 17:00:00","BZN|SE3","Without Sequence","30.78","",""
"25/02/2023 17:00:00 - 25/02/2023 18:00:00","BZN|SE3","Without Sequence","36.04","",""
"25/02/2023 18:00:00 - 25/02/2023 19:00:00","BZN|SE3","Without Sequence","60.94","",""
