Datetime UTC,spread_eur,prob_gain,estimated_gain,spot_eur,spot_fc_eur,imb_eur,expected_cost_eur,v_max,optimal_plan
2024-11-17 06:00:00+00:00,0.0,0.5602983540247076,-0.6704539156079558,5.23,0.632447442113369,5.23,-0.11886100861574667,34740.99999999999,0.0
2024-11-17 07:00:00+00:00,0.0,0.5618576151808473,-1.0251979616390925,7.16,8.63019686590225,7.16,7.478166302272637,0.0,0.0
2024-11-17 08:00:00+00:00,0.0,0.5696863564603195,1.888042505701187,8.91,8.957475179791425,8.91,11.108659291621667,0.0,0.0
2024-11-17 09:00:00+00:00,-4.74,0.5793476266164844,3.4756016863084502,9.74,5.960523478368133,5.0,9.987686654422237,0.0,0.0
2024-11-17 17:00:00+00:00,12.399999999999999,0.674225061479768,3.3690376784776666,38.1,38.857260421303,50.5,43.400239693101526,0.0,0.0
2024-11-17 18:00:00+00:00,13.86,0.7191838030501543,3.623222080960048,36.64,31.80423351674924,50.5,37.01575878770952,0.0,0.0
2024-11-17 19:00:00+00:00,15.619999999999997,0.7065283649789519,2.9328319407284726,34.88,30.171091437310356,50.5,34.31534934899222,0.0,0.0
2024-11-17 20:00:00+00:00,15.719999999999999,0.6131756931400185,2.11711716132593,33.78,41.20445978237551,49.5,43.80078934808482,34740.99999999999,0.0
2024-11-17 21:00:00+00:00,17.99,0.6091579691685306,0.958006585590886,30.01,31.02918461470009,48.0,32.196339306957334,34740.99999999999,0.0
2024-11-17 22:00:00+00:00,-14.21,0.6054149012203202,1.319464200426527,19.21,16.24102437260176,5.0,17.83867094973171,34740.99999999999,0.0
2024-11-17 23:00:00+00:00,-11.41,0.5970013541901489,1.493776742985349,12.41,7.959524767951921,1.0,9.743098244791927,34740.99999999999,0.0
2024-11-18 00:00:00+00:00,-12.35,0.5732294410338329,-0.516938156817869,12.35,10.8261786932232,0.0,10.233530351859667,34740.99999999999,0.0
2024-11-18 01:00:00+00:00,-14.03,0.5675134897227443,-0.03358835171460036,13.03,5.947758918772241,-1.0,5.909635233381065,34740.99999999999,34740.99999999999
