Datetime UTC,spread_eur,prob_gain,estimated_gain,spot_eur,spot_fc_eur,imb_eur,expected_cost_eur,v_max,optimal_plan
2024-10-29 09:00:00+00:00,-45.7,0.49364011520589457,-9.73186685914413,120.7,121.96279825458315,75.0,117.15875837706682,0.0,0.0
2024-10-29 17:00:00+00:00,0.0,0.6312354567503751,3.279473257932205,11.43,13.94437886949909,11.43,16.014498669370568,109.468738,0.0
2024-10-29 18:00:00+00:00,0.0,0.7662026370477953,3.344119527365296,0.67,-1.5641478136163873,0.67,0.9981253868539293,6512.836404000005,0.0
2024-10-29 19:00:00+00:00,0.0,0.66923618771134,2.4049222148293703,-0.01,1.6884821180373222,-0.01,3.297943092832042,12920.748868000002,0.0
2024-10-29 20:00:00+00:00,0.0,0.6597099881334516,1.7548102370012975,-0.11,14.097629380273002,-0.11,15.255295220901587,19352.51283599999,0.0
2024-10-29 21:00:00+00:00,0.0,0.6318198270228259,-1.864901715698099,-0.81,-11.922948223042761,-0.81,-13.101230102469705,25758.432472000004,25758.432472000004
2024-10-29 22:00:00+00:00,0.0,0.6279070760205749,-2.716757221603546,-2.0,-4.47194103471526,-2.0,-6.177812117990124,32034.002418,0.0
2024-10-29 23:00:00+00:00,0.0,0.5663951302443222,-5.483122656282394,-2.59,-5.9923819088757515,-2.59,-9.097995879926412,32034.002418,6275.569945999992
2024-10-30 00:00:00+00:00,0.0,0.6464613422725862,-1.1849971001881892,-2.29,-4.942516111547132,-2.29,-5.708570927523911,32034.002418,0.0
2024-10-30 01:00:00+00:00,-0.009999999999999787,0.6371426557995366,-2.4091307686153867,-2.49,-7.549513839296292,-2.5,-9.084473815380278,32034.002418,0.0
2024-10-30 02:00:00+00:00,0.0,0.5732723362458324,-5.404417506013485,-2.59,4.559416246074376,-2.59,1.4612131963541501,32034.002418,0.0
2024-10-30 03:00:00+00:00,-0.2200000000000002,0.46135996726080725,-4.071696355679675,-2.28,-0.8900054643708735,-2.5,-2.7685231617231967,32034.002418,0.0
2024-10-30 04:00:00+00:00,-1.34,0.45741766543857937,-4.514369924632159,-1.16,4.420374345384775,-2.5,2.3554217935333974,32034.002418,0.0
2024-10-30 05:00:00+00:00,-0.85,0.6198199149575453,0.13981409333957942,-0.65,9.963587311711285,-1.5,10.05024687115489,24071.524302000027,0.0
2024-10-30 06:00:00+00:00,-5.01,0.6009465792256519,2.6957687523794283,5.51,17.52634557292756,0.5,19.14635858305338,16127.736741999996,0.0
2024-10-30 07:00:00+00:00,-23.49,0.6232500720432695,1.8326984957534147,22.49,16.689354744862555,-1.0,17.831584214374463,8154.343984000002,0.0
2024-10-30 08:00:00+00:00,-14.1,0.5900812800251709,2.88674254867942,11.84,-1.2275977765536261,-2.26,0.4758149616742502,130.11946800000007,0.0
2024-10-30 09:00:00+00:00,-7.34,0.6131860095618759,3.866183113732168,5.34,3.428718678138631,-2.0,5.799408073883567,0.0,0.0
2024-10-30 17:00:00+00:00,0.0,0.6662873642568514,8.53016694567465,14.77,7.974736453028456,14.77,13.658278903932935,109.468738,0.0
2024-10-30 18:00:00+00:00,0.0,0.7930846283751247,7.084451464631822,16.24,24.205030665046213,16.24,29.82360022211535,6512.836404000005,0.0
2024-10-30 19:00:00+00:00,0.0,0.6921780384780283,7.242871507184801,15.7,17.856830741609286,15.7,22.87018733440086,12920.748868000002,0.0
2024-10-30 20:00:00+00:00,0.9900000000000002,0.6708269277796457,3.655909045601984,10.01,8.12238194469281,11.0,10.574864177995806,19352.51283599999,0.0
2024-10-30 21:00:00+00:00,4.9799999999999995,0.6718854466097954,2.873225904944211,5.03,2.012515230562411,10.01,3.9429939009166857,25758.432472000004,0.0
2024-10-30 22:00:00+00:00,0.0,0.657079737599993,0.6858058341215261,3.89,-2.6330936992938363,3.89,-2.1824645817647195,32034.002418,-3.637978807091713e-12
2024-10-30 23:00:00+00:00,0.0,0.6554567561793221,2.443036639290794,0.82,-1.8969771816628183,0.82,-0.29567231084604195,32034.002418,0.0
2024-10-31 00:00:00+00:00,0.0,0.5960315471713311,-0.7754794948328035,1.02,8.865660332579095,1.02,8.403450089474257,32034.002418,0.0
2024-10-31 01:00:00+00:00,0.0,0.5885869254154514,-0.9886208693958299,1.88,-0.30158306180273886,1.88,-0.883472379721981,32034.002418,0.0
2024-10-31 02:00:00+00:00,0.0,0.5317287814604009,-2.3104479895449823,2.9,4.69126036609892,2.9,3.4627286719905332,32034.002418,0.0
2024-10-31 03:00:00+00:00,-0.5099999999999998,0.5201323044724124,-3.4195059685013134,3.51,-2.6118869084920098,3.0,-4.390482428045766,32034.002418,32034.002418
2024-10-31 04:00:00+00:00,0.0,0.5210024594971903,-3.388181402978405,4.82,8.416193973215172,4.82,6.650943129040782,32034.002418,0.0
2024-10-31 05:00:00+00:00,-9.23,0.5258341961156707,-2.6767181341164474,19.23,25.01720796709626,10.0,23.6096980388149,24071.524302000027,0.0
2024-10-31 06:00:00+00:00,-13.170000000000002,0.5272023849549854,0.8088604008647239,32.17,34.746877253868696,19.0,35.17331038630022,16127.736741999996,0.0
